2023-01-21 23:04:48,245  asyncio  DEBUG: Using proactor: IocpProactor
2023-01-21 23:04:59,450  aiogram  DEBUG: Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":51447,"from":{"id":5630191911,"is_bot":true,"first_name":"Skills Like Professions","username":"skills_like_professions_bot"},"chat":{"id":544490770,"first_name":"Rosya","username":"salomanHere","type":"private"},"date":1674331499,"text":"\\u041e\\u0441\\u0442\\u0430\\u0432\\u0438\\u0442\\u044c \\u043d\\u0430\\u0432\\u044b\\u043a?\\n- \\u0420\\u0430\\u0441\\u0447\\u0435\\u0442\\u044b \\u043e\\u0431\\u043e\\u0440\\u0443\\u0434\\u043e\\u0432\\u0430\\u043d\\u0438\\u044f\\n\\u041e\\u0441\\u0442\\u0430\\u043b\\u043e\\u0441\\u044c:85156"}}'"
2023-01-21 23:05:00,416  aiogram  DEBUG: Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":900357650,\n"message":{"message_id":51448,"from":{"id":544490770,"is_bot":false,"first_name":"Rosya","username":"salomanHere","language_code":"ru"},"chat":{"id":544490770,"first_name":"Rosya","username":"salomanHere","type":"private"},"date":1674331500,"text":"\\u041d\\u0430\\u0437\\u0430\\u0434"}}]}'"
2023-01-21 23:05:00,416  aiogram.dispatcher.dispatcher  DEBUG: Received 1 updates.
2023-01-21 23:05:01,811  aiogram  DEBUG: Make request: "sendMessage" with data: "{'chat_id': 544490770, 'text': 'Оставить навык?\n- Chemcad\nОсталось:85157', 'reply_markup': '{"keyboard": [["Нет", "Назад", "Да"]], "resize_keyboard": true, "selective": true}'}" and files "None"
2023-01-21 23:05:01,812  aiogram  DEBUG: Make request: "getUpdates" with data: "{'offset': 900357651, 'timeout': 20}" and files "None"
2023-01-21 23:05:01,996  aiogram  DEBUG: Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":51449,"from":{"id":5630191911,"is_bot":true,"first_name":"Skills Like Professions","username":"skills_like_professions_bot"},"chat":{"id":544490770,"first_name":"Rosya","username":"salomanHere","type":"private"},"date":1674331502,"text":"\\u041e\\u0441\\u0442\\u0430\\u0432\\u0438\\u0442\\u044c \\u043d\\u0430\\u0432\\u044b\\u043a?\\n- Chemcad\\n\\u041e\\u0441\\u0442\\u0430\\u043b\\u043e\\u0441\\u044c:85157"}}'"
2023-01-21 23:05:02,855  aiogram  DEBUG: Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":900357651,\n"message":{"message_id":51450,"from":{"id":544490770,"is_bot":false,"first_name":"Rosya","username":"salomanHere","language_code":"ru"},"chat":{"id":544490770,"first_name":"Rosya","username":"salomanHere","type":"private"},"date":1674331503,"text":"\\u041d\\u0430\\u0437\\u0430\\u0434"}}]}'"
2023-01-21 23:05:02,856  aiogram.dispatcher.dispatcher  DEBUG: Received 1 updates.
2023-01-21 23:05:04,070  aiogram  DEBUG: Make request: "sendMessage" with data: "{'chat_id': 544490770, 'text': 'Оставить навык?\n- Электрохимическое обезжиривание\nОсталось:85158', 'reply_markup': '{"keyboard": [["Нет", "Назад", "Да"]], "resize_keyboard": true, "selective": true}'}" and files "None"
2023-01-21 23:05:04,071  aiogram  DEBUG: Make request: "getUpdates" with data: "{'offset': 900357652, 'timeout': 20}" and files "None"
2023-01-21 23:05:04,215  aiogram  DEBUG: Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":51451,"from":{"id":5630191911,"is_bot":true,"first_name":"Skills Like Professions","username":"skills_like_professions_bot"},"chat":{"id":544490770,"first_name":"Rosya","username":"salomanHere","type":"private"},"date":1674331504,"text":"\\u041e\\u0441\\u0442\\u0430\\u0432\\u0438\\u0442\\u044c \\u043d\\u0430\\u0432\\u044b\\u043a?\\n- \\u042d\\u043b\\u0435\\u043a\\u0442\\u0440\\u043e\\u0445\\u0438\\u043c\\u0438\\u0447\\u0435\\u0441\\u043a\\u043e\\u0435 \\u043e\\u0431\\u0435\\u0437\\u0436\\u0438\\u0440\\u0438\\u0432\\u0430\\u043d\\u0438\\u0435\\n\\u041e\\u0441\\u0442\\u0430\\u043b\\u043e\\u0441\\u044c:85158"}}'"
2023-01-21 23:05:05,355  aiogram  DEBUG: Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":900357652,\n"message":{"message_id":51452,"from":{"id":544490770,"is_bot":false,"first_name":"Rosya","username":"salomanHere","language_code":"ru"},"chat":{"id":544490770,"first_name":"Rosya","username":"salomanHere","type":"private"},"date":1674331505,"text":"\\u041d\\u0430\\u0437\\u0430\\u0434"}}]}'"
2023-01-21 23:05:05,356  aiogram.dispatcher.dispatcher  DEBUG: Received 1 updates.
2023-01-21 23:05:06,593  aiogram  DEBUG: Make request: "sendMessage" with data: "{'chat_id': 544490770, 'text': 'Оставить навык?\n- Гальваническое покрытие\nОсталось:85159', 'reply_markup': '{"keyboard": [["Нет", "Назад", "Да"]], "resize_keyboard": true, "selective": true}'}" and files "None"
2023-01-21 23:05:06,593  aiogram  DEBUG: Make request: "getUpdates" with data: "{'offset': 900357653, 'timeout': 20}" and files "None"
2023-01-21 23:05:06,735  aiogram  DEBUG: Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":51453,"from":{"id":5630191911,"is_bot":true,"first_name":"Skills Like Professions","username":"skills_like_professions_bot"},"chat":{"id":544490770,"first_name":"Rosya","username":"salomanHere","type":"private"},"date":1674331506,"text":"\\u041e\\u0441\\u0442\\u0430\\u0432\\u0438\\u0442\\u044c \\u043d\\u0430\\u0432\\u044b\\u043a?\\n- \\u0413\\u0430\\u043b\\u044c\\u0432\\u0430\\u043d\\u0438\\u0447\\u0435\\u0441\\u043a\\u043e\\u0435 \\u043f\\u043e\\u043a\\u0440\\u044b\\u0442\\u0438\\u0435\\n\\u041e\\u0441\\u0442\\u0430\\u043b\\u043e\\u0441\\u044c:85159"}}'"
2023-01-21 23:05:13,395  aiogram.dispatcher.dispatcher  INFO: Stop polling...
2023-01-21 23:05:13,398  aiogram  WARNING: Goodbye!
